ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,Longitude,Latitude
760,Montréal-Nord,Tardif,module de jeux,rue Tardif ( à l'est de #6453),,,accès par la ruelle,orthophotographies,295691.42,5053154.61,-73.6167968584383,45.6182320595318
761,Montréal-Nord,Gouin,,boul Gouin Est (face au #6700),,,,orthophotographies,295220.42,5054148.33,-73.6228558790487,45.6271674367124
762,Montréal-Nord,Gouin,parc à chien,boul Gouin Est (face au #6700),,,,orthophotographies,295192.43,5054126.75,-73.6232144180064,45.6269728686784
763,Montréal-Nord,Calixa-Lavallée (école),basketball,boul Henri-Bourassa Est/ave Pelletier,,,privé (commission scolaire),orthophotographies,293975.19,5050975.97,-73.6387552080074,45.5986035216403
764,Montréal-Nord,Racette,,ave Racette (face au #11424),,,,orthophotographies,294731.06,5051420.55,-73.6290754695459,45.6026153222448
765,Montréal-Nord,piste cyclabe (boul Gouin),piste cyclable,à la hauteur de l'intersection du boul Gouin Est et de l'ave,,,localisation approx.,localisation approx.,293579.72,5051154.84,-73.6438285408623,45.6002067689665
766,Saint-Laurent,Square du Rambler,,,,,,orthophotographies,288382.02,5041933.79,-73.7101459913431,45.5171298510797
769,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296489.61,5033287.95,-73.6062248749791,45.4394744306387
770,L'Île-Bizard–Sainte-Geneviève,parc nature de Boisé-de-l'Île-Bizard,,,,,Grands Parcs,,273552.25,5041917.13,-73.8999586819804,45.5164730454626
771,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284788.56,5041373.06,-73.7561180604378,45.5119903475464
772,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284792.52,5041364.37,-73.7560670239591,45.5119122657151
773,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284215.1,5040734.85,-73.7634306680711,45.5062308348070
774,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284206.41,5040750.12,-73.7635425163926,45.5063679827899
775,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,283843.55,5040006.84,-73.7681543430062,45.4996688952515
776,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,283822.24,5040012.46,-73.7684272585848,45.4997188254738
778,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270516.62,5036117.03,-73.9384073436021,45.4641400163233
779,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270560.49,5036094.26,-73.9378447753638,45.4639372783707
780,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270578.49,5035960.7,-73.9376053053361,45.4627363567996
781,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270709.71,5036933.13,-73.9359948389611,45.4714929177739
782,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270766.4,5036887.29,-73.9352666530871,45.4710832043718
783,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature du Ruissesau-De-Montigny,,,,,Grands Parcs,,296645.82,5053358.79,-73.6045622819175,45.6200811746924
784,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297995.91,5043541.48,-73.5871132002910,45.5317565636143
785,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297900.14,5043482.44,-73.5883385165854,45.5312243579536
786,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297958.47,5043593.33,-73.5875932707014,45.5322227627523
787,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,298031.92,5043669.66,-73.5866539337464,45.5329103257953
788,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297827.42,5043709.26,-73.5892727745030,45.5332646451698
789,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292754.34,5049100.58,-73.6543580604167,45.5817081960568
790,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292531.11,5048822.74,-73.6572116336153,45.5792042146597
791,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292515.82,5048777.67,-73.6574064233620,45.5787983925638
792,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292339.25,5048740.64,-73.6596679941887,45.5784620465188
793,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292283.96,5048512,-73.6603706028604,45.5764036879989
794,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292157.6,5048430.24,-73.6619875578576,45.5756657043420
795,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292036.85,5048398.59,-73.6635338992989,45.5753787044645
796,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292775.13,5049257.58,-73.6540955144850,45.5831212844373
797,Anjou,Du Mail (Chénier),piscine,5555 ave de l'Aréna,,,accès restreint,orthophotographies,301416.09,5051451.17,-73.5433791844765,45.6029555321637
798,Lachine,René-Lévesque,,,,,Grands Parcs,,291463.33,5032183.72,-73.6704415291883,45.4294602039142
799,Lachine,René-Lévesque,,,,,Grands Parcs,,291458.52,5032175.35,-73.6705027735473,45.4293847946710
800,LaSalle,des Rapides,chalet,boul LaSalle/40e ave,,,Grands Parcs,,295775.91,5030668.8,-73.6152995043729,45.4158970796330
801,LaSalle,des Rapides,chalet,boul LaSalle/boul Bishop-Power,,,Grands Parcs,,297324.07,5031863.29,-73.5955370428475,45.4266640082063
802,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296284.95,5033570.57,-73.6088457604698,45.4420151275477
803,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296954.34,5033280.75,-73.6002845085684,45.4394150110186
804,Le Sud-Ouest,Angrignon,sentier,,,,Grands Parcs,,297249.46,5033955.79,-73.5965225994334,45.4454926170262
